sample,theta,beta_out,sigma,bEP,bCP,delta,muEI,muIR,muRS,rho,S_0,E_0,I_0,R_0,sig_obs,loglik,loglik.se,flag,file_id,ll_lowIQ
2,34.6291058776186,0.0076331092488288,0.10984324070815,0.0566852281109179,-0.154627580633289,0.0166666666666667,18.8838212187003,31.4598120448744,2.15602485744821,0.002488160810412,0.868791118702995,0.0098057715807292,0.004029314311383,0.117373795404893,0.0709849221464313,-2140.48326020505,0.511730435753375,1,376,-2140.828422383966
8,43.9000921616289,0.0015005148621467,0.113959312374141,0.162638245470398,-0.102367033809484,0.0166666666666667,17.6591821072161,37.1306947386253,2.13473882109569,0.002530699478409,0.856630282460006,0.0085474006217176,0.0017466965065634,0.133075620411713,0.0507533876015799,-2140.49385015763,0.8686543896473,1,1204,-2141.0797575434467
10,47.7958874863339,0.0011733581725275,0.103156910054657,0.0862049843410831,-0.0413777775249999,0.0166666666666667,18.8996315163781,43.9788653423467,3.35024593767402,0.0021977610168127,0.814234921496452,0.0077188598978134,0.0078676073054572,0.170178611300277,0.0574434613778119,-2140.53101924859,1.18773538539022,1,1430,-2141.3321467660357
6,78.4279731392118,0.0067951474329144,0.0990813177862837,0.0013412244030789,-0.0351140913190812,0.0166666666666667,17.367881373389,77.2715555353741,2.04968271258693,0.0026905690642933,0.855597253446354,0.0055182040243466,0.0011174907552074,0.137767051774092,0.0862261686539574,-2140.55992462158,0.810403307062436,1,2016,-2141.1065416521938
12,63.2818147133106,0.0054322387861596,0.107981629534346,0.233505743974773,-0.0560702273439216,0.0166666666666667,17.7847930595042,58.0320969468111,1.61439902360358,0.0027257233241258,0.859583985417664,0.006782180367109,0.0096814832874444,0.123952350927783,0.04714024465413,-2140.59671708523,0.846189200510194,1,922,-2141.167471700974
19,51.2845768250647,0.0023669673694935,0.109304776898206,0.0424252357916706,-0.120170229267165,0.0166666666666667,17.2152937037052,46.1698806862097,5.81680521409385,0.00153810507396,0.852910264029212,0.008350104235842,0.003910104274225,0.134829527460721,0.0224300533531334,-2140.67950082974,1.12593653590618,1,3407,-2141.438945023209
14,31.3881508963668,0.0082950256468126,0.111112836881179,0.0565650349523295,-0.0399635175937009,0.0166666666666667,20.3671646100956,30.2122197425925,4.22666213041349,0.0020885357852443,0.8743177120146,0.0062874238628269,0.0033327800445398,0.116062084078034,0.104828607958443,-2140.68566569221,0.450488091243199,1,537,-2140.9895199097537
7,58.4253893375871,0.0162445244204091,0.107039694880291,0.0503811115088086,-0.192105338351709,0.0166666666666667,17.1435025711651,56.5682412242672,3.92117860450515,0.0018883074462414,0.801924461531188,0.008807971578369,0.0058032011626407,0.183464365727802,0.033387923595934,-2140.69905514372,1.72091403890447,1,220,-2141.8598116629614
4,41.5852079723194,0.0095383752202045,0.0999111475011616,-0.00047203336532565,-0.0832116820669394,0.0166666666666667,18.6695979179736,40.7294544008971,1.55243960149676,0.0033185451088994,0.816242083243042,0.0047177266909755,0.00087280287115192,0.17816738719483,0.0438601849735393,-2140.71526440408,1.57639726305957,1,2167,-2141.7785443580133
9,30.2912634721645,0.0010842738305329,0.133834938574925,-0.0270258975651376,-0.0762649272636119,0.0166666666666667,16.9544181312778,27.2544919312456,2.76441672518855,0.002698488103723,0.884140906147507,0.0071071574534276,0.0047614706106034,0.103990465788462,0.0213349338169538,-2140.72357924126,1.34090247256696,1,2174,-2141.6280179590062
