"parameter","smoothed","quadratic","ci_low","ci_high","mle","span","param_name"
-6.99781039582926,-2166.81977728471,-2171.08080205138,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.99355942517844,-2166.74167456338,-2170.95699922245,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.98930845452762,-2166.66386425531,-2170.83371770937,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.9850574838768,-2166.58634602791,-2170.71095751216,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.98080651322598,-2166.50911954857,-2170.58871863081,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.97655554257516,-2166.4321844847,-2170.46700106532,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.97230457192433,-2166.35554050368,-2170.34580481569,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.96805360127351,-2166.27918727292,-2170.22512988192,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.96380263062269,-2166.20312445982,-2170.10497626401,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.95955165997187,-2166.12735173177,-2169.98534396196,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.95530068932105,-2166.05186875618,-2169.86623297577,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.95104971867023,-2165.97667520043,-2169.74764330544,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.94679874801941,-2165.90177073194,-2169.62957495098,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.94254777736858,-2165.82715501809,-2169.51202791237,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.93829680671776,-2165.75282772629,-2169.39500218963,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.93404583606694,-2165.67878852393,-2169.27849778274,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.92979486541612,-2165.60503707841,-2169.16251469172,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.9255438947653,-2165.53157305713,-2169.04705291655,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.92129292411448,-2165.45839612749,-2168.93211245725,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.91704195346366,-2165.38550595689,-2168.81769331381,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
